Structure Level;LvL;MatScr;MatDest;Plant;DisconType;DisconDate;Subtyp;Made From;Mat/Doc Number;DocType;Version;Description;DocPart;PTp;Formula Key;SAP Downstream;Printing Good;State;Raw Dimension 1;Raw Dimension 2;Raw Dimension 3;Raw Dimension Unit;Raw Material Amount;Raw Material Amount Unit;Raw Material Quantity;Raw Material Quantity Unit;Assembly;Pos;DisconGrp;SuccessGrp;Quantity;Quantity Unit;Reference Designator;ERP Position Text;Parent
4;;;;;;;Component;;S1200221817;;00;ETIKETT 4X4 BARCODE DATA-MATRIX;000;L;;;;PUBLISHED;;;;;;;;;No;575;;;1;ea;;;S2200287739
5;;;;;;;Labeling / marking document;;7000887231;Labeling / marking document;00;ETIKETT 4X4 BARCODE DATA-MATRIX;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200221817
3;;;;;;;Component;;S1200287361;;00;KONTAKTSTIFT 1X15,25 F. STECKER M12;000;L;;;;PUBLISHED;;;;;;;;;Yes;300;;;3;ea;;;S1200287367
4;;;;;;;CAD-Document Drawing ;;7000954297;;AB;KONTAKTSTIFT 1X15,25 F. STECKER M12;000;;;;;INWORK;;;;;;;;;;;;;;;;;S1200287361
4;;;;;;;Component;;S1200293806;;00;KONTAKTSTIFT 1X15,55 LEADFREE;000;L;;;;PUBLISHED;;;;;;;;;No;10;;;1;ea;;;S1200287361
5;;;;;;;CAD-Document Drawing ;;7200012889;;AC;KONTAKTSTIFT 1X15,55 leadfree;000;;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200293806
2;;;;;;;Component;;S1200287368;;00;TM-GEH. M18ZI-PSC80B-S04G;000;L;;;;PUBLISHED;;;;;;;;;Yes;200;;;1;ea;;;S1200287547
3;;;;;;;CAD-Document Drawing ;;7200005345;;AC;TM-GEH. M18ZI-PSC80B-S04G;000;;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200287368
3;;;;;;;Component;;S1200286397;;00;GEW.ROHR M18X52,2;000;L;;;;PUBLISHED;;;;;;;;;No;100;;;1;ea;;;S1200287368
4;;;;;;;CAD-Document Drawing ;;7000953857;;AF;GEW.ROHR M18x52,2;000;;;;;OBSOLETE;;;;;;;;;;;;;;;;;S1200286397
4;;;;;;;Qualifiying document;;7200094375;Qualifiying document;AA;EMPB-12844-286397-953857-GEW.ROHR M18x52;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200286397
4;;;;;;;CAD-Document Drawing ;;7200227807;;AC;GEW.ROHR M18x52,2 Zn;000;;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200286397
4;;;;;;;Qualifiying document;;7200268297;Qualifiying document;AA;EMPB-13761-286397-7200227807-GEW.ROHR M1;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200286397
3;;;;;;;Component;;S1200286391;;00;KAPPE M18 D16,5XL10;000;L;;;;PUBLISHED;;;;;;;;;No;200;;;1;ea;;;S1200287368
4;;;;;;;CAD-Document Drawing ;;7000953856;;AF;KAPPE M18 D16,5xL10;000;;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200286391
4;;;;;;;Qualifiying document;;7200146569;Qualifiying document;AA;EMPB-13076-286391-7000953856-KAPPE M18 D;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200286391
4;;;;;;;Qualifiying document;;7200172900;Qualifiying document;AA;EMPB-13126-286391-953856-KAPPE M18 D16xL;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200286391
4;;;;;;;Qualifiying document;;7200437861;Qualifiying document;AA;EMPB-14409-02-286391-7000953856-KAPPE M18 D16.5XL10-PREMIUM RAPID&MOLD;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200286391
2;;;;;;;Component;;S1200286400;;00;ROHRABSCHLUSS M18 D16,7XL25,3;000;L;;;;PUBLISHED;;;;;;;;;No;300;;;1;ea;;;S1200287547
3;;;;;;;CAD-Document Drawing ;;7000953853;;AJ;ROHRABSCHLUSS M18 D16,7xL25,3;000;;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200286400
3;;;;;;;Qualifiying document;;7200132985;Qualifiying document;AA;EMPB-13107-286400-953853-ROHRABSCHLUSS M;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200286400
3;;;;;;;Qualifiying document;;7200146563;Qualifiying document;AA;EMPB-13073-286400-7000953853-ROHRABSCHLU;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200286400
3;;;;;;;Qualifiying document;;7200208323;Qualifiying document;AA;EMPB-13345-286400-953853-ROHRABSCHLUSS M;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200286400
3;;;;;;;Qualifiying document;;7200437855;Qualifiying document;AA;EMPB-14407-02-286400-7000953853-ROHRABSCHLUSS M18 D16.7xL25.3-PREMIUM RAPID&MOLD;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200286400
2;;;;;;;Auxiliary Material;;S2200123891;;00;PU-HARTSCHAUM RAKU-PUR 34-4002 A+B;000;L;;;;PUBLISHED;;;;;;;;;Yes;460;;;1;kg;;;S1200287547
3;;;;;;;Auxiliary Material;;S2200123889;;00;RAKU-PUR 34-4002 A FUELLER;000;L;;;;PUBLISHED;;;;;;;;;No;10;;;0.1;kg;;;S2200123891
4;;;;;;;Specifying document;;7000831581;Specifying document;AA;MSDS RAKU-PUR 34-4002 A FUELLER;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200123889
4;;;;;;;Specifying document;;7200464580;Specifying document;AA;HS RAKU-PUR 34-4002 A FUELLER;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200123889
4;;;;;;;Specifying document;;7200464581;Specifying document;AA;TD RAKU-PUR 34-4002 A FUELLER;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200123889
3;;;;;;;Auxiliary Material;;S2200123890;;00;RAKU-PUR 34-4002 B HAERTER;000;L;;;;PUBLISHED;;;;;;;;;No;20;;;0.07;kg;;;S2200123891
4;;;;;;;Specifying document;;7000831582;Specifying document;AA;MSDS RAKU-PUR 34-4002 B HAERTER;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200123890
4;;;;;;;Specifying document;;7200464575;Specifying document;AA;TD RAKU-PUR 34-4002 B HAERTER;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200123890
4;;;;;;;Specifying document;;7200464649;Specifying document;AA;HS RAKU-PUR 34-4002 B HAERTER;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200123890
2;;;;;;;Component;;S1200138507;;00;EINFUELLTRICHTER FUER SCHAUM S04;000;L;;;;PUBLISHED;;;;;;;;;No;470;;;1;ea;;;S1200287547
3;;;;;;;CAD-Document Drawing ;;7000835882;;09;EINFUELLTRICHTER SCHAUM S04;000;;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200138507
3;;;;;;;Qualifiying document;;7000838936;Qualifiying document;00;MV NR.5585/138507 TRICHTER F. SCHAUM S04;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200138507
3;;;;;;;Qualifiying document;;7000950650;Qualifiying document;00;EMPB-12011-138507-835882-EINFUELLTRICHTE;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200138507
3;;;;;;;Qualifiying document;;7000950900;Qualifiying document;00;EMPB-12091-138507-835882-EINFUELLTRICHTE;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200138507
1;;;;;;;Component;;S1200288179;;00;6KTMU M18X1-ST-ZN-NZG-SW24;000;L;;;;PUBLISHED;;;;;;;;;No;600;;;2;ea;;;S2200287364
2;;;;;;;CAD-Document Drawing ;;7200016746;;AB;6KTMU M18X1-ST-ZN-NZG-SW24;000;;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200288179
2;;;;;;;Qualifiying document;;7200255703;Qualifiying document;AA;EMPB-13659-288179-7200016746-6KTMU M18X1;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200288179
1;;;;;;;Component;;S1200294617;;00;VERPACKUNGSFOLIE 100X150 WS PLA;000;L;;;;PUBLISHED;;;;;;;;;Yes;800;;;1;ea;;;S2200287364
2;;;;;;;Packing Material;;S2200294618;;00;SCHLAUCHFOLIE 100X0,08 WS PLA;000;L;;;;PUBLISHED;;;;;;;;;No;10;;;150;mm;;;S1200294617
3;;;;;;;CAD-Document Drawing ;;7200251229;;AA;SCHLAUCHFOLIE 100X0,08 WS PLA;000;;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200294618
2;;;;;;;Component;;S1200294619;;00;FARBBAND SW THERMOTRANSFER XTRA 3520;000;L;;;;PUBLISHED;;;;;;;;;No;20;;;77;mm;;;S1200294617
3;;;;;;;CAD-Document Drawing ;;7200265566;;AA;FARBBAND SW THERMOTRANSFER Xtra 3520;000;;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200294619
