Structure Level;LvL;MatScr;MatDest;Plant;DisconType;DisconDate;Subtyp;Made From;Mat/Doc Number;DocType;Version;Description;DocPart;PTp;Formula Key;SAP Downstream;Printing Good;State;Raw Dimension 1;Raw Dimension 2;Raw Dimension 3;Raw Dimension Unit;Raw Material Amount;Raw Material Amount Unit;Raw Material Quantity;Raw Material Quantity Unit;Assembly;Pos;DisconGrp;SuccessGrp;Quantity;Quantity Unit;Reference Designator;ERP Position Text;Parent
6;;;;;;;Qualifiying document;;7200174907;Qualifiying document;AA;EMPB-13099-287596-7200006223-SPULENKOERP;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200287596
5;;;;;;;Component;;S1200634284;;00;DRAHT RD D46435-L 0,118 V;000;L;;;;PUBLISHED;;;;;;;;;No;30;;;2.554;m;;;S1200287597
5;;;;;;;Auxiliary Material;;S2200149288;;00;FITTINGSLOT CU-ROTIN 3;000;L;;;;PUBLISHED;;;;;;;;;No;430;;;1;g;;;S1200287597
6;;;;;;;Specifying document;;7000848190;Specifying document;AA;MSDS FITTINGSLOT CU-ROTIN 3;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200149288
6;;;;;;;Specifying document;;7200464724;Specifying document;AA;HS FITTINGSLOT CU-ROTIN 3;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200149288
6;;;;;;;Specifying document;;7200464979;Specifying document;AA;TD FITTINGSLOT CU-ROTIN 3;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200149288
4;;;;;;;Component;;S1200287602;;00;POT-CORE 13,5 X 5,05;000;L;;;;PUBLISHED;;;;;;;;;No;20;;;1;ea;;;S1200287603
5;;;;;;;CAD-Document Drawing ;;7200001060;;AF;POT-CORE 13,5 X 5,05;000;;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200287602
5;;;;;;;Qualifiying document;;7200094376;Qualifiying document;AA;EMPB-12868-287602-7200001060-POT-CORE 13;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200287602
5;;;;;;;Qualifiying document;;7200333074;Qualifiying document;AA;EMPB-13985-287602-7200001060-POT-CORE 13;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200287602
4;;;;;;;Auxiliary Material;;S2200490913;;00;METAL ERGO 5634 KISLING;000;L;;;;PUBLISHED;;;;;;;;;No;25;;;0.001;kg;;;S1200287603
5;;;;;;;Specifying document;;7000844107;Specifying document;01;MSDS METAL ERGO 5634 KISLING;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200490913
5;;;;;;;Specifying document;;7200464849;Specifying document;AA;HS METAL ERGO 5634 KISLING;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200490913
5;;;;;;;Specifying document;;7200465043;Specifying document;AA;TD METAL ERGO 5634 KISLING;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200490913
3;;;;;;;Component;;S2200287739;;00;PCBA M18-P-S-1-C-B-S04-45L1-G;000;L;;;;PUBLISHED;;;;;;;;;Yes;200;;;1;ea;;;S1200287367
4;;;;;;;MCAD Document;;7000955094;MCAD Document;AD;PMT P.955090;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200287739
4;;;;;;;MCAD Document;;7000955095;MCAD Document;AD;PMB P.955090;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200287739
4;;;;;;;MCAD Document;;7000955097;MCAD Document;AD;AD PCBA M18-P-S-1-C-B-S04-45L1-G;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200287739
4;;;;;;;MCAD Document;;7000955098;MCAD Document;AD;AD PCBA M18-P-S-1-C-B-S04-45L1-G CPL.;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200287739
4;;;;;;;MCAD Document;;7000956134;MCAD Document;AC;SC PCBA M18-P-S-1-C-B-S04-45L1-G;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200287739
4;;;;;;;Component;;S2200287738;;00;PCB 2L-16X M18-P-S-1-C-B-S04-45L1-G;000;L;;;;PUBLISHED;;;;;;;;;No;10;;;1;ea;;;S2200287739
5;;;;;;;MCAD Document;;7000955090;MCAD Document;AE;PCB 2L-16X M18-P-S-1-C-B-S04-45L1-G;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200287738
5;;;;;;;MCAD Document;;7000955091;MCAD Document;AD;LA P.955090;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200287738
5;;;;;;;MCAD Document;;7000955092;MCAD Document;AD;SST P.955090;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200287738
5;;;;;;;MCAD Document;;7000955093;MCAD Document;AD;SSB P.955090;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S2200287738
4;;;;;;;Component;;S1200118374;;00;RES 39K 1% 50PPM MF CHP 0603;000;L;;;;PUBLISHED;;;;;;;;;No;1010;;;1;ea;;;S2200287739
5;;;;;;;Specifying document;;7000816103;Specifying document;00;RES 39K 1% 50PPM MF CHP 0603;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200118374
5;;;;;;;Specifying document;;7000991898;Specifying document;11;RES FIX SZ 1% 50PPM MF CHIP 0603;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200118374
4;;;;;;;Component;;S1200122160;;00;RES 1K 1% 50PPM MF CHP 0603;000;L;;;;PUBLISHED;;;;;;;;;No;1020;;;2;ea;;;S2200287739
5;;;;;;;Specifying document;;7000820900;Specifying document;00;RES 1K 1% 50PPM MF CHP 0603;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200122160
5;;;;;;;Specifying document;;7000991898;Specifying document;11;RES FIX SZ 1% 50PPM MF CHIP 0603;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200122160
4;;;;;;;Component;;S1200121706;;00;RES TRIM 330R 10% 100PPM TF CHP 0805;000;L;;;;PUBLISHED;;;;;;;;;No;1030;;;1;ea;;;S2200287739
5;;;;;;;Specifying document;;7000820274;Specifying document;AA;RES TRIM 330R 10% 100PPM TF CHP-0805;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200121706
4;;;;;;;Component;;S1200120291;;00;RES 360R 1% 50PPM MF CHP 0603;000;L;;;;PUBLISHED;;;;;;;;;No;1040;;;1;ea;;;S2200287739
5;;;;;;;Specifying document;;7000818566;Specifying document;00;RES 360R 1% 50PPM MF CHP 0603;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200120291
5;;;;;;;Specifying document;;7000991898;Specifying document;11;RES FIX SZ 1% 50PPM MF CHIP 0603;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200120291
4;;;;;;;Component;;S1200287927;;00;RES NTC 10K 1% B3380 CHP 0402;000;L;;;;PUBLISHED;;;;;;;;;No;1050;;;1;ea;;;S2200287739
5;;;;;;;Specifying document;;7200017193;Specifying document;AA;RES NTC 10K 1% B3380 CHP 0402;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200287927
4;;;;;;;Component;;S1200125840;;00;RES 9K1 1% 50PPM MF CHP 0603;000;L;;;;PUBLISHED;;;;;;;;;No;1060;;;1;ea;;;S2200287739
5;;;;;;;Specifying document;;7000825111;Specifying document;00;RES 9K1 1% 50PPM MF CHP 0603;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200125840
5;;;;;;;Specifying document;;7000991898;Specifying document;11;RES FIX SZ 1% 50PPM MF CHIP 0603;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200125840
4;;;;;;;Component;;S1200118773;;00;RES 5K1 1% 50PPM MF CHP 0603;000;L;;;;PUBLISHED;;;;;;;;;No;1070;;;1;ea;;;S2200287739
5;;;;;;;Specifying document;;7000816621;Specifying document;00;RES 5K1 1% 50PPM MF CHP 0603;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200118773
5;;;;;;;Specifying document;;7000991898;Specifying document;11;RES FIX SZ 1% 50PPM MF CHIP 0603;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200118773
4;;;;;;;Component;;S1200115596;;00;RES 33K 1% 50PPM MF CHP 0603;000;L;;;;PUBLISHED;;;;;;;;;No;1080;;;1;ea;;;S2200287739
5;;;;;;;Specifying document;;7000813853;Specifying document;00;RES 33K 1% 50PPM MF CHP 0603;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200115596
5;;;;;;;Specifying document;;7000991898;Specifying document;11;RES FIX SZ 1% 50PPM MF CHIP 0603;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200115596
4;;;;;;;Component;;S1200118771;;00;RES 4K7 1% 50PPM MF CHP 0603;000;L;;;;PUBLISHED;;;;;;;;;No;1090;;;1;ea;;;S2200287739
5;;;;;;;Specifying document;;7000816557;Specifying document;00;RES 4K7 1% 50PPM MF CHP 0603;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200118771
5;;;;;;;Specifying document;;7000991898;Specifying document;11;RES FIX SZ 1% 50PPM MF CHIP 0603;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200118771
4;;;;;;;Component;;S1200118238;;00;RES 6K2 1% 50PPM MF CHP 0603;000;L;;;;PUBLISHED;;;;;;;;;No;1100;;;1;ea;;;S2200287739
5;;;;;;;Specifying document;;7000816005;Specifying document;00;RES 6K2 1% 50PPM MF CHP 0603;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200118238
5;;;;;;;Specifying document;;7000991898;Specifying document;11;RES FIX SZ 1% 50PPM MF CHIP 0603;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200118238
4;;;;;;;Component;;S1200128911;;00;RES 910K 1% 50PPM MF CHP 0603;000;L;;;;PUBLISHED;;;;;;;;;No;1110;;;1;ea;;;S2200287739
5;;;;;;;Specifying document;;7000828065;Specifying document;00;RES 910K 1% 50PPM MF CHP 0603;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200128911
5;;;;;;;Specifying document;;7000991898;Specifying document;11;RES FIX SZ 1% 50PPM MF CHIP 0603;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200128911
4;;;;;;;Component;;S1200122217;;00;RES 220K 1% 50PPM MF CHP 0603;000;L;;;;PUBLISHED;;;;;;;;;No;1120;;;1;ea;;;S2200287739
5;;;;;;;Specifying document;;7000820961;Specifying document;00;RES 220K 1% 50PPM MF CHP 0603;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200122217
5;;;;;;;Specifying document;;7000991898;Specifying document;11;RES FIX SZ 1% 50PPM MF CHIP 0603;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200122217
4;;;;;;;Component;;S1200118774;;00;RES 2K4 1% 50PPM MF CHP 0603;000;L;;;;PUBLISHED;;;;;;;;;No;1130;;;1;ea;;;S2200287739
5;;;;;;;Specifying document;;7000816622;Specifying document;00;RES 2K4 1% 50PPM MF CHP 0603;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200118774
5;;;;;;;Specifying document;;7000991898;Specifying document;11;RES FIX SZ 1% 50PPM MF CHIP 0603;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200118774
4;;;;;;;Component;;S1200115593;;00;RES 15K 1% 50PPM MF CHP 0603;000;L;;;;PUBLISHED;;;;;;;;;No;1140;;;1;ea;;;S2200287739
5;;;;;;;Specifying document;;7000813852;Specifying document;00;RES 15K 1% 50PPM MF CHP 0603;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200115593
5;;;;;;;Specifying document;;7000991898;Specifying document;11;RES FIX SZ 1% 50PPM MF CHIP 0603;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200115593
4;;;;;;;Component;;S1200140694;;00;CAPA 1N5 1% 50V NP0 CHP 0603;000;L;;;;PUBLISHED;;;;;;;;;No;2010;;;1;ea;;;S2200287739
5;;;;;;;Specifying document;;7000837934;Specifying document;02;CAPA 1N5 1% 50V NP0 CHP 0603;000;D;;;;DRAFT;;;;;;;;;;;;;;;;;S1200140694
4;;;;;;;Component;;S1200150505;;00;CAPA 22N 10% 50V X7R CHP 0402;000;L;;;;PUBLISHED;;;;;;;;;No;2020;;;1;ea;;;S2200287739
5;;;;;;;Specifying document;;7000849491;Specifying document;02;CAPA 22N 10% 50V X7R CHP 0402;000;D;;;;DRAFT;;;;;;;;;;;;;;;;;S1200150505
4;;;;;;;Component;;S1200178830;;00;CAPA 1U 10% 16V X7R CHP 0603;000;L;;;;RELEASED;;;;;;;;;No;2030;;;1;ea;;;S2200287739
5;;;;;;;Specifying document;;7000868479;Specifying document;AD;CAPA 1U 10% 16V X7R CHP 0603;000;D;;;;RELEASED;;;;;;;;;;;;;;;;;S1200178830
4;;;;;;;Component;;S1200235411;;00;CAPA 100N 10% 50V X7R CHP 0402;000;L;;;;PUBLISHED;;;;;;;;;No;2040;;;1;ea;;;S2200287739
5;;;;;;;Specifying document;;7000898862;Specifying document;01;CAPA 100N 10% 50V X7R CHP 0402;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200235411
4;;;;;;;Component;;S1200271095;;00;CAPA 330N 10% 25V X7R CHP 0603;000;L;;;;PUBLISHED;;;;;;;;;No;2050;;;1;ea;;;S2200287739
5;;;;;;;Specifying document;;7000944013;Specifying document;00;CAPA 330N 10% 25V X7R CHP 0603;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200271095
4;;;;;;;Component;;S1200287123;;00;TRAN NPN NPN BCM847BS SOT-363;000;L;;;;PUBLISHED;;;;;;;;;No;3010;;;1;ea;;;S2200287739
5;;;;;;;Specifying document;;7200005871;Specifying document;AB;TRAN NPN NPN BCM847BS SOT-363;000;D;;;;INWORK;;;;;;;;;;;;;;;;;S1200287123
4;;;;;;;Component;;S1200287124;;00;TRAN PNP PNP BCM857BS SOT-363;000;L;;;;PUBLISHED;;;;;;;;;No;3020;;;1;ea;;;S2200287739
5;;;;;;;Specifying document;;7200005938;Specifying document;AB;TRAN PNP PNP BCM857BS SOT-363;000;D;;;;INWORK;;;;;;;;;;;;;;;;;S1200287124
4;;;;;;;Component;;S1200160227;;00;TRAN NPN PNP BC846 SOT 363-6;000;L;;;;PUBLISHED;;;;;;;;;No;3030;;;1;ea;;;S2200287739
5;;;;;;;Specifying document;;7000859427;Specifying document;AA;TRAN NPN PNP BC846 SOT 363-6;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200160227
4;;;;;;;Component;;S1200288317;;00;DIO LED RD GN S225KRTGKT SMD 21 12 07;000;L;;;;PUBLISHED;;;;;;;;;No;3040;;;1;ea;;;S2200287739
5;;;;;;;Specifying document;;7200094243;Specifying document;AB;DIO LED RD GN S225KRTGKT SMD 21 12 07;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200288317
4;;;;;;;Component;;S1200284655;;00;IC INTFC SEN TIOS1015 VSON-10;000;L;;;;PUBLISHED;;;;;;;;;No;;;;1;ea;;;0000233100
5;;;;;;;Specifying document;;7000952499;Specifying document;00;IC INTFC SEN TIOS1015 VSON-10;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200284655
4;;;;;;;Component;;S1200287821;;00;IC INTFC IO-LINK TIOL1125 VSON-10;000;L;;;;PUBLISHED;;;;;;;;;No;;;;1;ea;;;0000233100
5;;;;;;;Specifying document;;7200017747;Specifying document;AA;IC INTFC IO-LINK TIOL1125 VSON-10;000;D;;;;PUBLISHED;;;;;;;;;;;;;;;;;S1200287821
4;;;;;;;Component;;S1200290199;;00;IC INTFC SEN TIOS1025 VSON-10;000;L;;;;RELEASED;;;;;;;;;No;;;;1;ea;;;0000233100
