Structure Level;LvL;MatScr;MatDest;Plant;DisconType;DisconDate;Subtyp;Made From;Mat/Doc Number;DocType;Version;Description;DocPart;PTp;Formula Key;SAP Downstream;Printing Good;State;Raw Dimension 1;Raw Dimension 2;Raw Dimension 3;Raw Dimension Unit;Raw Material Amount;Raw Material Amount Unit;Raw Material Quantity;Raw Material Quantity Unit;Assembly;Pos;DisconGrp;SuccessGrp;Quantity;Quantity Unit;Reference Designator;ERP Position Text;Parent
4;;;;;;;Auxiliary Material;;S2200490913;;00;METAL ERGO 5634 KISLING;000;L;;;;PUBLISHED;;;;;;;;;No;25;;;0.001;kg;;;S1200287603
5;;;;;;;Specifying document;;7000844107;QEP;01;MSDS METAL ERGO 5634 KISLING;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200490913
5;;;;;;;Specifying document;;7200464849;QEP;AA;HS METAL ERGO 5634 KISLING;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200490913
5;;;;;;;Specifying document;;7200465043;QEP;AA;TD METAL ERGO 5634 KISLING;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200490913
3;;;;;;;Component;;S2200287739;;00;PCBA M18-P-S-1-C-B-S04-45L1-G;000;L;;;;PUBLISHED;;;;;;;;;Yes;200;;;1;ea;;;S1200287367
4;;;;;;;MCAD Document;;7000955094;DRF;AD;PMT P.955090;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200287739
4;;;;;;;MCAD Document;;7000955095;DRF;AD;PMB P.955090;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200287739
4;;;;;;;MCAD Document;;7000955097;DOK;AD;AD PCBA M18-P-S-1-C-B-S04-45L1-G;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200287739
4;;;;;;;MCAD Document;;7000955098;DOK;AD;AD PCBA M18-P-S-1-C-B-S04-45L1-G CPL.;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200287739
4;;;;;;;MCAD Document;;7000956134;DOK;AC;SC PCBA M18-P-S-1-C-B-S04-45L1-G;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S2200287739
4;;;;;;;Component;;S1200115593;;00;RES 15K 1% 50PPM MF CHP 0603;000;L;;;;PUBLISHED;;;;;;;;;No;1140;;;1;ea;R117;;S2200287739
5;;;;;;;Specifying document;;7000813852;DRW;00;RES 15K 1% 50PPM MF CHP 0603;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200115593
5;;;;;;;Specifying document;;7000991898;;10;;000;D;;;;RELEASED;;;;;;;;;;;;;;;;;S1200115593
4;;;;;;;Component;;S1200115596;;00;RES 33K 1% 50PPM MF CHP 0603;000;L;;;;PUBLISHED;;;;;;;;;No;1080;;;1;ea;R109;;S2200287739
5;;;;;;;Specifying document;;7000813853;DRW;00;RES 33K 1% 50PPM MF CHP 0603;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200115596
5;;;;;;;Specifying document;;7000991898;;10;;000;D;;;;RELEASED;;;;;;;;;;;;;;;;;S1200115596
4;;;;;;;Component;;S1200118238;;00;RES 6K2 1% 50PPM MF CHP 0603;000;L;;;;PUBLISHED;;;;;;;;;No;1100;;;1;ea;R111;;S2200287739
5;;;;;;;Specifying document;;7000816005;DRW;00;RES 6K2 1% 50PPM MF CHP 0603;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200118238
5;;;;;;;Specifying document;;7000991898;;10;;000;D;;;;RELEASED;;;;;;;;;;;;;;;;;S1200118238
4;;;;;;;Component;;S1200118374;;00;RES 39K 1% 50PPM MF CHP 0603;000;L;;;;PUBLISHED;;;;;;;;;No;1010;;;1;ea;R101;;S2200287739
5;;;;;;;Specifying document;;7000816103;DRW;00;RES 39K 1% 50PPM MF CHP 0603;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200118374
5;;;;;;;Specifying document;;7000991898;;10;;000;D;;;;RELEASED;;;;;;;;;;;;;;;;;S1200118374
4;;;;;;;Component;;S1200118771;;00;RES 4K7 1% 50PPM MF CHP 0603;000;L;;;;PUBLISHED;;;;;;;;;No;1090;;;1;ea;R110;;S2200287739
5;;;;;;;Specifying document;;7000816557;DRW;00;RES 4K7 1% 50PPM MF CHP 0603;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200118771
5;;;;;;;Specifying document;;7000991898;;10;;000;D;;;;RELEASED;;;;;;;;;;;;;;;;;S1200118771
4;;;;;;;Component;;S1200118773;;00;RES 5K1 1% 50PPM MF CHP 0603;000;L;;;;PUBLISHED;;;;;;;;;No;1070;;;1;ea;R108;;S2200287739
5;;;;;;;Specifying document;;7000816621;DRW;00;RES 5K1 1% 50PPM MF CHP 0603;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200118773
5;;;;;;;Specifying document;;7000991898;;10;;000;D;;;;RELEASED;;;;;;;;;;;;;;;;;S1200118773
4;;;;;;;Component;;S1200118774;;00;RES 2K4 1% 50PPM MF CHP 0603;000;L;;;;PUBLISHED;;;;;;;;;No;1130;;;1;ea;R116;;S2200287739
5;;;;;;;Specifying document;;7000816622;DRW;00;RES 2K4 1% 50PPM MF CHP 0603;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200118774
5;;;;;;;Specifying document;;7000991898;;10;;000;D;;;;RELEASED;;;;;;;;;;;;;;;;;S1200118774
4;;;;;;;Component;;S1200120291;;00;RES 360R 1% 50PPM MF CHP 0603;000;L;;;;PUBLISHED;;;;;;;;;No;1040;;;1;ea;R104;;S2200287739
5;;;;;;;Specifying document;;7000818566;DRW;00;RES 360R 1% 50PPM MF CHP 0603;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200120291
5;;;;;;;Specifying document;;7000991898;;10;;000;D;;;;RELEASED;;;;;;;;;;;;;;;;;S1200120291
4;;;;;;;Component;;S1200121706;;00;RES TRIM 330R 10% 100PPM TF CHP 0805;000;L;;;;PUBLISHED;;;;;;;;;No;1030;;;1;ea;R103;;S2200287739
5;;;;;;;Specifying document;;7000820274;DRW;AA;RES TRIM 330R 10% 100PPM TF CHP-0805;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200121706
4;;;;;;;Component;;S1200122160;;00;RES 1K 1% 50PPM MF CHP 0603;000;L;;;;PUBLISHED;;;;;;;;;No;1020;;;2;ea;R102,R115;;S2200287739
5;;;;;;;Specifying document;;7000820900;DRW;00;RES 1K 1% 50PPM MF CHP 0603;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200122160
5;;;;;;;Specifying document;;7000991898;;10;;000;D;;;;RELEASED;;;;;;;;;;;;;;;;;S1200122160
4;;;;;;;Component;;S1200122217;;00;RES 220K 1% 50PPM MF CHP 0603;000;L;;;;PUBLISHED;;;;;;;;;No;1120;;;1;ea;R114;;S2200287739
5;;;;;;;Specifying document;;7000820961;DRW;00;RES 220K 1% 50PPM MF CHP 0603;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200122217
5;;;;;;;Specifying document;;7000991898;;10;;000;D;;;;RELEASED;;;;;;;;;;;;;;;;;S1200122217
4;;;;;;;Component;;S1200125840;;00;RES 9K1 1% 50PPM MF CHP 0603;000;L;;;;PUBLISHED;;;;;;;;;No;1060;;;1;ea;R106;;S2200287739
5;;;;;;;Specifying document;;7000825111;DRW;00;RES 9K1 1% 50PPM MF CHP 0603;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200125840
5;;;;;;;Specifying document;;7000991898;;10;;000;D;;;;RELEASED;;;;;;;;;;;;;;;;;S1200125840
4;;;;;;;Component;;S1200128911;;00;RES 910K 1% 50PPM MF CHP 0603;000;L;;;;PUBLISHED;;;;;;;;;No;1110;;;1;ea;R113;;S2200287739
5;;;;;;;Specifying document;;7000828065;DRW;00;RES 910K 1% 50PPM MF CHP 0603;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200128911
5;;;;;;;Specifying document;;7000991898;;10;;000;D;;;;RELEASED;;;;;;;;;;;;;;;;;S1200128911
4;;;;;;;Component;;S1200140694;;00;CAPA 1N5 1% 50V NP0 CHP 0603;000;L;;;;PUBLISHED;;;;;;;;;No;2010;;;1;ea;C101;;S2200287739
5;;;;;;;Specifying document;;7000837934;;01;;000;D;;;;RELEASED;;;;;;;;;;;;;;;;;S1200140694
4;;;;;;;Component;;S1200150505;;00;CAPA 22N 10% 50V X7R CHP 0402;000;L;;;;PUBLISHED;;;;;;;;;No;2020;;;1;ea;C102;;S2200287739
5;;;;;;;Specifying document;;7000849491;;01;;000;D;;;;RELEASED;;;;;;;;;;;;;;;;;S1200150505
4;;;;;;;Component;;S1200160227;;00;TRAN NPN PNP BC846 SOT 363-6;000;L;;;;PUBLISHED;;;;;;;;;No;3030;;;1;ea;V103;;S2200287739
5;;;;;;;Specifying document;;7000859427;DRW;AA;TRAN NPN PNP BC846 SOT 363-6;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200160227
4;;;;;;;Component;;S1200178830;;00;CAPA 1U 10% 16V X7R CHP 0603;000;L;;;;RELEASED;;;;;;;;;No;2030;;;1;ea;C103;;S2200287739
5;;;;;;;Specifying document;;7000868479;DRW;AD;CAPA 1U 10% 16V X7R CHP 0603;000;D;;true;;RELEASED;;;;;;;;;;;;;;;;;S1200178830
4;;;;;;;Component;;S1200221817;;00;ETIKETT 4X4 BARCODE DATA-MATRIX;000;L;;;;PUBLISHED;;;;;;;;;No;575;;;1;ea;;;S2200287739
5;;;;;;;Labeling / marking document;;7000887231;DRW;00;ETIKETT 4X4 BARCODE DATA-MATRIX;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200221817
4;;;;;;;Component;;S1200235411;;00;CAPA 100N 10% 50V X7R CHP 0402;000;L;;;;PUBLISHED;;;;;;;;;No;2040;;;1;ea;C104;;S2200287739
5;;;;;;;Specifying document;;7000898862;DRW;01;CAPA 100N 10% 50V X7R CHP 0402;000;D;;true;;PUBLISHED;;;;;;;;;;;;;;;;;S1200235411
4;;;;;;;Component;;S1200271095;;00;CAPA 330N 10% 25V X7R CHP 0603;000;L;;;;PUBLISHED;;;;;;;;;No;2050;;;1;ea;C105;;S2200287739
